logs/submit_seed42.txt
val_bpb:enabled tokenizer_kind=sentencepiece tokenizer_path=./data/tokenizers/fineweb_1024_bpe.model
train_loader:dataset:fineweb10B_sp1024 train_shards:20
val_loader:shards pattern=./data/datasets/fineweb10B_sp1024/fineweb_val_*.bin tokens:62021632
model_params:22368841
world_size:1 grad_accum_steps:8
attention_mode:gqa num_heads:8 num_kv_heads:4
tie_embeddings:True embed_lr:0.03 matrix_lr:0.02 scalar_lr:0.02
train_batch_tokens:524288 train_seq_len:2048 iterations:20000 warmup_steps:20 max_wallclock_seconds:600.000
seed:42
warmup_step:1/20
warmup_step:2/20
warmup_step:3/20
warmup_step:4/20
warmup_step:5/20
warmup_step:6/20
warmup_step:7/20
warmup_step:8/20
warmup_step:9/20
warmup_step:10/20
warmup_step:11/20
warmup_step:12/20
warmup_step:13/20
warmup_step:14/20
warmup_step:15/20
warmup_step:16/20
warmup_step:17/20
warmup_step:18/20
warmup_step:19/20
warmup_step:20/20
step:0/20000 val_loss:6.9299 val_bpb:4.1043 train_time:0ms step_avg:0.02ms
step:1/20000 train_loss:6.9306 train_time:525ms step_avg:525.09ms
step:2/20000 train_loss:8.0582 train_time:1001ms step_avg:500.54ms
step:3/20000 train_loss:7.5639 train_time:1432ms step_avg:477.34ms
step:4/20000 train_loss:7.0121 train_time:1941ms step_avg:485.25ms
step:5/20000 train_loss:6.7724 train_time:2453ms step_avg:490.69ms
step:6/20000 train_loss:6.7501 train_time:2921ms step_avg:486.85ms
step:7/20000 train_loss:6.4738 train_time:3467ms step_avg:495.27ms
step:8/20000 train_loss:6.3645 train_time:3954ms step_avg:494.22ms
step:9/20000 train_loss:6.2677 train_time:4537ms step_avg:504.11ms
step:10/20000 train_loss:6.1083 train_time:5012ms step_avg:501.16ms
step:100/20000 train_loss:3.2132 train_time:47324ms step_avg:473.24ms
step:200/20000 train_loss:2.7013 train_time:93577ms step_avg:467.88ms
step:300/20000 train_loss:2.5235 train_time:141724ms step_avg:472.41ms
step:400/20000 train_loss:2.3020 train_time:190212ms step_avg:475.53ms
step:500/20000 train_loss:2.4103 train_time:238324ms step_avg:476.65ms
step:500/20000 val_loss:2.4032 val_bpb:1.4233 train_time:238325ms step_avg:476.65ms
step:600/20000 train_loss:2.4032 train_time:284613ms step_avg:474.36ms
step:700/20000 train_loss:2.3588 train_time:330122ms step_avg:471.60ms
swa:start step:800
step:800/20000 train_loss:2.2469 train_time:376563ms step_avg:470.70ms
step:900/20000 train_loss:2.2698 train_time:423045ms step_avg:470.05ms
step:1000/20000 train_loss:2.2551 train_time:469417ms step_avg:469.42ms
step:1000/20000 val_loss:2.2232 val_bpb:1.3167 train_time:469637ms step_avg:469.64ms
step:1100/20000 train_loss:2.1657 train_time:516514ms step_avg:469.56ms
step:1200/20000 train_loss:2.1690 train_time:564262ms step_avg:470.22ms
step:1275/20000 val_loss:2.1637 val_bpb:1.2815 train_time:600347ms step_avg:470.86ms
stopping_early: wallclock_cap train_time:600347ms step:1275/20000
peak memory allocated: 11561 MiB reserved: 11710 MiB
swa:applying averaged 5 checkpoints
Serialized model: 87413467 bytes
Code size: 52243 bytes
Total submission size: 87465710 bytes
Serialized model int6+zlib: 16336814 bytes
  sliding_eval [  7.6%] 73632/969088 windows running_bpb=1.277350
  sliding_eval [  7.8%] 75232/969088 windows running_bpb=1.277665
  sliding_eval [  7.9%] 76832/969088 windows running_bpb=1.277340
  sliding_eval [  8.1%] 78432/969088 windows running_bpb=1.277746
  sliding_eval [  8.3%] 80032/969088 windows running_bpb=1.278138
  sliding_eval [  8.4%] 81632/969088 windows running_bpb=1.278008
  sliding_eval [  8.6%] 83232/969088 windows running_bpb=1.279252
  sliding_eval [  8.8%] 84832/969088 windows running_bpb=1.281216
  sliding_eval [  8.9%] 86432/969088 windows running_bpb=1.280333
  sliding_eval [  9.1%] 88032/969088 windows running_bpb=1.281055
  sliding_eval [  9.2%] 89632/969088 windows running_bpb=1.281443
  sliding_eval [  9.4%] 91232/969088 windows running_bpb=1.281324
  sliding_eval [  9.6%] 92832/969088 windows running_bpb=1.280820
  sliding_eval [  9.7%] 94432/969088 windows running_bpb=1.281085
  sliding_eval [  9.9%] 96032/969088 windows running_bpb=1.280623
  sliding_eval [ 10.1%] 97632/969088 windows running_bpb=1.283490
  sliding_eval [ 10.2%] 99232/969088 windows running_bpb=1.283578
  sliding_eval [ 10.4%] 100832/969088 windows running_bpb=1.283573
  sliding_eval [ 10.6%] 102432/969088 windows running_bpb=1.283225
  sliding_eval [ 10.7%] 104032/969088 windows running_bpb=1.282730
  sliding_eval [ 10.9%] 105632/969088 windows running_bpb=1.282019
  sliding_eval [ 11.1%] 107232/969088 windows running_bpb=1.282053
  sliding_eval [ 11.2%] 108832/969088 windows running_bpb=1.282700
  sliding_eval [ 11.4%] 110432/969088 windows running_bpb=1.282779
  sliding_eval [ 11.6%] 112032/969088 windows running_bpb=1.282729
  sliding_eval [ 11.7%] 113632/969088 windows running_bpb=1.283224
  sliding_eval [ 11.9%] 115232/969088 windows running_bpb=1.283067
  sliding_eval [ 12.1%] 116832/969088 windows running_bpb=1.282715
  sliding_eval [ 12.2%] 118432/969088 windows running_bpb=1.282992
  sliding_eval [ 12.4%] 120032/969088 windows running_bpb=1.283121
  sliding_eval [ 12.6%] 121632/969088 windows running_bpb=1.283335
  sliding_eval [ 12.7%] 123232/969088 windows running_bpb=1.283344
  sliding_eval [ 12.9%] 124832/969088 windows running_bpb=1.282892
  sliding_eval [ 13.0%] 126432/969088 windows running_bpb=1.282815
  sliding_eval [ 13.2%] 128032/969088 windows running_bpb=1.282791
  sliding_eval [ 13.4%] 129632/969088 windows running_bpb=1.282954
  sliding_eval [ 13.5%] 131232/969088 windows running_bpb=1.283187
  sliding_eval [ 13.7%] 132832/969088 windows running_bpb=1.282757
  sliding_eval [ 13.9%] 134432/969088 windows running_bpb=1.282238
  sliding_eval [ 14.0%] 136032/969088 windows running_bpb=1.281006
  sliding_eval [ 14.2%] 137632/969088 windows running_bpb=1.281546
  sliding_eval [ 14.4%] 139232/969088 windows running_bpb=1.281357
  sliding_eval [ 14.5%] 140832/969088 windows running_bpb=1.282095
  sliding_eval [ 14.7%] 142432/969088 windows running_bpb=1.282488
  sliding_eval [ 14.9%] 144032/969088 windows running_bpb=1.282891
  sliding_eval [ 15.0%] 145632/969088 windows running_bpb=1.282777
  sliding_eval [ 15.2%] 147232/969088 windows running_bpb=1.282638
  sliding_eval [ 15.4%] 148832/969088 windows running_bpb=1.282367
  sliding_eval [ 15.5%] 150432/969088 windows running_bpb=1.282103
  sliding_eval [ 15.7%] 152032/969088 windows running_bpb=1.281816
  sliding_eval [ 15.9%] 153632/969088 windows running_bpb=1.282637
  sliding_eval [ 16.0%] 155232/969088 windows running_bpb=1.282607
  sliding_eval [ 16.2%] 156832/969088 windows running_bpb=1.283090
  sliding_eval [ 16.3%] 158432/969088 windows running_bpb=1.282933
  sliding_eval [ 16.5%] 160032/969088 windows running_bpb=1.283390
  sliding_eval [ 16.7%] 161632/969088 windows running_bpb=1.283525
  sliding_eval [ 16.8%] 163232/969088 windows running_bpb=1.283490
  sliding_eval [ 17.0%] 164832/969088 windows running_bpb=1.283427
  sliding_eval [ 17.2%] 166432/969088 windows running_bpb=1.283557
  sliding_eval [ 17.3%] 168032/969088 windows running_bpb=1.283031
  sliding_eval [ 17.5%] 169632/969088 windows running_bpb=1.282997
  sliding_eval [ 17.7%] 171232/969088 windows running_bpb=1.282699
  sliding_eval [ 17.8%] 172832/969088 windows running_bpb=1.282541
  sliding_eval [ 18.0%] 174432/969088 windows running_bpb=1.282568
  sliding_eval [ 18.2%] 176032/969088 windows running_bpb=1.282381
  sliding_eval [ 18.3%] 177632/969088 windows running_bpb=1.282611
  sliding_eval [ 18.5%] 179232/969088 windows running_bpb=1.282930
  sliding_eval [ 18.7%] 180832/969088 windows running_bpb=1.283333
  sliding_eval [ 18.8%] 182432/969088 windows running_bpb=1.283690
  sliding_eval [ 19.0%] 184032/969088 windows running_bpb=1.284244
  sliding_eval [ 19.2%] 185632/969088 windows running_bpb=1.283869
  sliding_eval [ 19.3%] 187232/969088 windows running_bpb=1.283836
  sliding_eval [ 19.5%] 188832/969088 windows running_bpb=1.284011
  sliding_eval [ 19.7%] 190432/969088 windows running_bpb=1.283907
  sliding_eval [ 19.8%] 192032/969088 windows running_bpb=1.284093
  sliding_eval [ 20.0%] 193632/969088 windows running_bpb=1.284163
  sliding_eval [ 20.1%] 195232/969088 windows running_bpb=1.283646
  sliding_eval [ 20.3%] 196832/969088 windows running_bpb=1.283432
  sliding_eval [ 20.5%] 198432/969088 windows running_bpb=1.283702
  sliding_eval [ 20.6%] 200032/969088 windows running_bpb=1.283914
  sliding_eval [ 20.8%] 201632/969088 windows running_bpb=1.283873
  sliding_eval [ 21.0%] 203232/969088 windows running_bpb=1.283780
  sliding_eval [ 21.1%] 204832/969088 windows running_bpb=1.283602
  sliding_eval [ 21.3%] 206432/969088 windows running_bpb=1.283337
  sliding_eval [ 21.5%] 208032/969088 windows running_bpb=1.282875
  sliding_eval [ 21.6%] 209632/969088 windows running_bpb=1.282672
  sliding_eval [ 21.8%] 211232/969088 windows running_bpb=1.282382
  sliding_eval [ 22.0%] 212832/969088 windows running_bpb=1.282803
  sliding_eval [ 22.1%] 214432/969088 windows running_bpb=1.282551
  sliding_eval [ 22.3%] 216032/969088 windows running_bpb=1.282851
  sliding_eval [ 22.5%] 217632/969088 windows running_bpb=1.283118
  sliding_eval [ 22.6%] 219232/969088 windows running_bpb=1.283213
  sliding_eval [ 22.8%] 220832/969088 windows running_bpb=1.283010
  sliding_eval [ 23.0%] 222432/969088 windows running_bpb=1.282631
  sliding_eval [ 23.1%] 224032/969088 windows running_bpb=1.282721
  sliding_eval [ 23.3%] 225632/969088 windows running_bpb=1.282262
  sliding_eval [ 23.4%] 227232/969088 windows running_bpb=1.281960
  sliding_eval [ 23.6%] 228832/969088 windows running_bpb=1.282457
  sliding_eval [ 23.8%] 230432/969088 windows running_bpb=1.282241
  sliding_eval [ 23.9%] 232032/969088 windows running_bpb=1.282065
  sliding_eval [ 24.1%] 233632/969088 windows running_bpb=1.281775
  sliding_eval [ 24.3%] 235232/969088 windows running_bpb=1.281822
  sliding_eval [ 24.4%] 236832/969088 windows running_bpb=1.282029
  sliding_eval [ 24.6%] 238432/969088 windows running_bpb=1.282050
  sliding_eval [ 24.8%] 240032/969088 windows running_bpb=1.281683
  sliding_eval [ 24.9%] 241632/969088 windows running_bpb=1.281367
  sliding_eval [ 25.1%] 243232/969088 windows running_bpb=1.281225
  sliding_eval [ 25.3%] 244832/969088 windows running_bpb=1.281124
  sliding_eval [ 25.4%] 246432/969088 windows running_bpb=1.281183
  sliding_eval [ 25.6%] 248032/969088 windows running_bpb=1.280751
  sliding_eval [ 25.8%] 249632/969088 windows running_bpb=1.281264
  sliding_eval [ 25.9%] 251232/969088 windows running_bpb=1.281199
  sliding_eval [ 26.1%] 252832/969088 windows running_bpb=1.281371
  sliding_eval [ 26.3%] 254432/969088 windows running_bpb=1.281198
  sliding_eval [ 26.4%] 256032/969088 windows running_bpb=1.280882
  sliding_eval [ 26.6%] 257632/969088 windows running_bpb=1.280759
  sliding_eval [ 26.8%] 259232/969088 windows running_bpb=1.280489
  sliding_eval [ 26.9%] 260832/969088 windows running_bpb=1.280240
  sliding_eval [ 27.1%] 262432/969088 windows running_bpb=1.280166
  sliding_eval [ 27.2%] 264032/969088 windows running_bpb=1.279987
  sliding_eval [ 27.4%] 265632/969088 windows running_bpb=1.280055
  sliding_eval [ 27.6%] 267232/969088 windows running_bpb=1.279776
  sliding_eval [ 27.7%] 268832/969088 windows running_bpb=1.279777
  sliding_eval [ 27.9%] 270432/969088 windows running_bpb=1.280174
  sliding_eval [ 28.1%] 272032/969088 windows running_bpb=1.280553
  sliding_eval [ 28.2%] 273632/969088 windows running_bpb=1.280333
  sliding_eval [ 28.4%] 275232/969088 windows running_bpb=1.280126
  sliding_eval [ 28.6%] 276832/969088 windows running_bpb=1.280422
  sliding_eval [ 28.7%] 278432/969088 windows running_bpb=1.280178
  sliding_eval [ 28.9%] 280032/969088 windows running_bpb=1.280121
  sliding_eval [ 29.1%] 281632/969088 windows running_bpb=1.279825
  sliding_eval [ 29.2%] 283232/969088 windows running_bpb=1.279890
  sliding_eval [ 29.4%] 284832/969088 windows running_bpb=1.279759
  sliding_eval [ 29.6%] 286432/969088 windows running_bpb=1.279624
  sliding_eval [ 29.7%] 288032/969088 windows running_bpb=1.279605
  sliding_eval [ 29.9%] 289632/969088 windows running_bpb=1.279407
  sliding_eval [ 30.1%] 291232/969088 windows running_bpb=1.279091
  sliding_eval [ 30.2%] 292832/969088 windows running_bpb=1.279109
  sliding_eval [ 30.4%] 294432/969088 windows running_bpb=1.278965
  sliding_eval [ 30.5%] 296032/969088 windows running_bpb=1.279056
  sliding_eval [ 30.7%] 297632/969088 windows running_bpb=1.278783
  sliding_eval [ 30.9%] 299232/969088 windows running_bpb=1.278858
  sliding_eval [ 31.0%] 300832/969088 windows running_bpb=1.278567
  sliding_eval [ 31.2%] 302432/969088 windows running_bpb=1.278176
  sliding_eval [ 31.4%] 304032/969088 windows running_bpb=1.278294
  sliding_eval [ 31.5%] 305632/969088 windows running_bpb=1.278283
  sliding_eval [ 31.7%] 307232/969088 windows running_bpb=1.278223
  sliding_eval [ 31.9%] 308832/969088 windows running_bpb=1.277989
  sliding_eval [ 32.0%] 310432/969088 windows running_bpb=1.277948
  sliding_eval [ 32.2%] 312032/969088 windows running_bpb=1.277850
  sliding_eval [ 32.4%] 313632/969088 windows running_bpb=1.277731
  sliding_eval [ 32.5%] 315232/969088 windows running_bpb=1.277743
  sliding_eval [ 32.7%] 316832/969088 windows running_bpb=1.277862
  sliding_eval [ 32.9%] 318432/969088 windows running_bpb=1.277531
  sliding_eval [ 33.0%] 320032/969088 windows running_bpb=1.277447
  sliding_eval [ 33.2%] 321632/969088 windows running_bpb=1.277405
  sliding_eval [ 33.4%] 323232/969088 windows running_bpb=1.277125
  sliding_eval [ 33.5%] 324832/969088 windows running_bpb=1.276811
  sliding_eval [ 33.7%] 326432/969088 windows running_bpb=1.276609
  sliding_eval [ 33.8%] 328032/969088 windows running_bpb=1.276702
  sliding_eval [ 34.0%] 329632/969088 windows running_bpb=1.276796
  sliding_eval [ 34.2%] 331232/969088 windows running_bpb=1.276457
  sliding_eval [ 34.3%] 332832/969088 windows running_bpb=1.276165
  sliding_eval [ 34.5%] 334432/969088 windows running_bpb=1.276034
  sliding_eval [ 34.7%] 336032/969088 windows running_bpb=1.276014
  sliding_eval [ 34.8%] 337632/969088 windows running_bpb=1.275884
  sliding_eval [ 35.0%] 339232/969088 windows running_bpb=1.275999
  sliding_eval [ 35.2%] 340832/969088 windows running_bpb=1.275769
  sliding_eval [ 35.3%] 342432/969088 windows running_bpb=1.275691
  sliding_eval [ 35.5%] 344032/969088 windows running_bpb=1.275307
  sliding_eval [ 35.7%] 345632/969088 windows running_bpb=1.275017
  sliding_eval [ 35.8%] 347232/969088 windows running_bpb=1.274915
  sliding_eval [ 36.0%] 348832/969088 windows running_bpb=1.274746
  sliding_eval [ 36.2%] 350432/969088 windows running_bpb=1.274567
  sliding_eval [ 36.3%] 352032/969088 windows running_bpb=1.274710
  sliding_eval [ 36.5%] 353632/969088 windows running_bpb=1.274929
  sliding_eval [ 36.7%] 355232/969088 windows running_bpb=1.274604
  sliding_eval [ 36.8%] 356832/969088 windows running_bpb=1.274512
  sliding_eval [ 37.0%] 358432/969088 windows running_bpb=1.274194
  sliding_eval [ 37.2%] 360032/969088 windows running_bpb=1.273848
  sliding_eval [ 37.3%] 361632/969088 windows running_bpb=1.273685
  sliding_eval [ 37.5%] 363232/969088 windows running_bpb=1.273993
  sliding_eval [ 37.6%] 364832/969088 windows running_bpb=1.273991
  sliding_eval [ 37.8%] 366432/969088 windows running_bpb=1.273818
  sliding_eval [ 38.0%] 368032/969088 windows running_bpb=1.273729
  sliding_eval [ 38.1%] 369632/969088 windows running_bpb=1.273743
  sliding_eval [ 38.3%] 371232/969088 windows running_bpb=1.273721
  sliding_eval [ 38.5%] 372832/969088 windows running_bpb=1.273776
  sliding_eval [ 38.6%] 374432/969088 windows running_bpb=1.274095
  sliding_eval [ 38.8%] 376032/969088 windows running_bpb=1.273996
  sliding_eval [ 39.0%] 377632/969088 windows running_bpb=1.274115
  sliding_eval [ 39.1%] 379232/969088 windows running_bpb=1.274042
  sliding_eval [ 39.3%] 380832/969088 windows running_bpb=1.273789
  sliding_eval [ 39.5%] 382432/969088 windows running_bpb=1.273791
  sliding_eval [ 39.6%] 384032/969088 windows running_bpb=1.273565
  sliding_eval [ 39.8%] 385632/969088 windows running_bpb=1.273693
  sliding_eval [ 40.0%] 387232/969088 windows running_bpb=1.273707
  sliding_eval [ 40.1%] 388832/969088 windows running_bpb=1.273798
  sliding_eval [ 40.3%] 390432/969088 windows running_bpb=1.273711
  sliding_eval [ 40.5%] 392032/969088 windows running_bpb=1.273700
  sliding_eval [ 40.6%] 393632/969088 windows running_bpb=1.273706
  sliding_eval [ 40.8%] 395232/969088 windows running_bpb=1.273525
  sliding_eval [ 40.9%] 396832/969088 windows running_bpb=1.273748
  sliding_eval [ 41.1%] 398432/969088 windows running_bpb=1.273811
  sliding_eval [ 41.3%] 400032/969088 windows running_bpb=1.273792
  sliding_eval [ 41.4%] 401632/969088 windows running_bpb=1.273753
  sliding_eval [ 41.6%] 403232/969088 windows running_bpb=1.273653
  sliding_eval [ 41.8%] 404832/969088 windows running_bpb=1.273716
  sliding_eval [ 41.9%] 406432/969088 windows running_bpb=1.273513
  sliding_eval [ 42.1%] 408032/969088 windows running_bpb=1.273583
  sliding_eval [ 42.3%] 409632/969088 windows running_bpb=1.273606
  sliding_eval [ 42.4%] 411232/969088 windows running_bpb=1.273483
  sliding_eval [ 42.6%] 412832/969088 windows running_bpb=1.273579
  sliding_eval [ 42.8%] 414432/969088 windows running_bpb=1.273619
  sliding_eval [ 42.9%] 416032/969088 windows running_bpb=1.273602
  sliding_eval [ 43.1%] 417632/969088 windows running_bpb=1.273453
  sliding_eval [ 43.3%] 419232/969088 windows running_bpb=1.273410
  sliding_eval [ 43.4%] 420832/969088 windows running_bpb=1.273625
  sliding_eval [ 43.6%] 422432/969088 windows running_bpb=1.273590
  sliding_eval [ 43.8%] 424032/969088 windows running_bpb=1.273389
  sliding_eval [ 43.9%] 425632/969088 windows running_bpb=1.273334
  sliding_eval [ 44.1%] 427232/969088 windows running_bpb=1.273167
  sliding_eval [ 44.3%] 428832/969088 windows running_bpb=1.273167
  sliding_eval [ 44.4%] 430432/969088 windows running_bpb=1.273123
  sliding_eval [ 44.6%] 432032/969088 windows running_bpb=1.273267
  sliding_eval [ 44.7%] 433632/969088 windows running_bpb=1.273279
  sliding_eval [ 44.9%] 435232/969088 windows running_bpb=1.273181
  sliding_eval [ 45.1%] 436832/969088 windows running_bpb=1.273367
  sliding_eval [ 45.2%] 438432/969088 windows running_bpb=1.273359
  sliding_eval [ 45.4%] 440032/969088 windows running_bpb=1.273327
  sliding_eval [ 45.6%] 441632/969088 windows running_bpb=1.273475
  sliding_eval [ 45.7%] 443232/969088 windows running_bpb=1.273449
  sliding_eval [ 45.9%] 444832/969088 windows running_bpb=1.273526
  sliding_eval [ 46.1%] 446432/969088 windows running_bpb=1.273665
  sliding_eval [ 46.2%] 448032/969088 windows running_bpb=1.273647
  sliding_eval [ 46.4%] 449632/969088 windows running_bpb=1.273665
  sliding_eval [ 46.6%] 451232/969088 windows running_bpb=1.273760
  sliding_eval [ 46.7%] 452832/969088 windows running_bpb=1.273829
  sliding_eval [ 46.9%] 454432/969088 windows running_bpb=1.273599
  sliding_eval [ 47.1%] 456032/969088 windows running_bpb=1.273392
  sliding_eval [ 47.2%] 457632/969088 windows running_bpb=1.273596
  sliding_eval [ 47.4%] 459232/969088 windows running_bpb=1.273515
  sliding_eval [ 47.6%] 460832/969088 windows running_bpb=1.273515
  sliding_eval [ 47.7%] 462432/969088 windows running_bpb=1.273361
  sliding_eval [ 47.9%] 464032/969088 windows running_bpb=1.273265
  sliding_eval [ 48.0%] 465632/969088 windows running_bpb=1.273333
  sliding_eval [ 48.2%] 467232/969088 windows running_bpb=1.273323
  sliding_eval [ 48.4%] 468832/969088 windows running_bpb=1.273391
  sliding_eval [ 48.5%] 470432/969088 windows running_bpb=1.273395
  sliding_eval [ 48.7%] 472032/969088 windows running_bpb=1.273506
  sliding_eval [ 48.9%] 473632/969088 windows running_bpb=1.273392
  sliding_eval [ 49.0%] 475232/969088 windows running_bpb=1.273402
  sliding_eval [ 49.2%] 476832/969088 windows running_bpb=1.273440
  sliding_eval [ 49.4%] 478432/969088 windows running_bpb=1.273361
  sliding_eval [ 49.5%] 480032/969088 windows running_bpb=1.273797
  sliding_eval [ 49.7%] 481632/969088 windows running_bpb=1.273728
  sliding_eval [ 49.9%] 483232/969088 windows running_bpb=1.273842
  sliding_eval [ 50.0%] 484832/969088 windows running_bpb=1.274160
  sliding_eval [ 50.2%] 486432/969088 windows running_bpb=1.274214
  sliding_eval [ 50.4%] 488032/969088 windows running_bpb=1.274101
  sliding_eval [ 50.5%] 489632/969088 windows running_bpb=1.274258
